id,area,floor,max_floor,type,wall_type,rooms,region,year,price
4503,32.0,2,5,Вторичка,кирпичный,1,Красноперекопский,,1599000
4504,87.0,2,3,Вторичка,кирпичный,3,Заволжский,,6946000
4505,63.8,12,12,Новостройки,кирпичный,2,Дзержинский,,2754260
4506,41.1,12,12,Новостройки,кирпичный,1,Фрунзенский,,2114838
4507,57.9,12,12,Новостройки,кирпичный,2,Дзержинский,,2527345
4508,43.5,4,4,Вторичка,кирпичный,2,Кировский,,3100000
4509,38.0,1,10,Вторичка,панельный,1,Фрунзенский,2007,1550000
4510,49.7,18,18,Новостройки,кирпичный,1,Ленинский,,2900000
4511,35.2,8,9,Вторичка,кирпичный,1,Фрунзенский,1986,1550000
4512,35.8,10,17,Новостройки,монолитный,1,Фрунзенский,,2115780
4513,63.0,8,9,Вторичка,кирпичный,3,Дзержинский,1976,2500000
4514,51.0,11,18,Новостройки,монолитный,1,Ленинский,,2970000
4515,59.3,5,5,Вторичка,кирпичный,2,Кировский,1971,5250000
4516,83.5,15,19,Новостройки,монолитный,3,Дзержинский,,3680000
4517,46.1,2,5,Вторичка,панельный,2,Дзержинский,,1900007
4518,39.0,1,5,Вторичка,кирпичный,1,Кировский,,2900000
4519,91.1,2,13,Новостройки,монолитный,3,Ленинский,,5192700
4520,51.4,2,5,Вторичка,кирпичный,3,Дзержинский,,2000000
4521,78.0,1,16,Вторичка,кирпичный,2,Фрунзенский,,3999999
4522,,3,9,Вторичка,панельный,1,Дзержинский,1980,1200000
4523,40.0,1,3,Вторичка,кирпичный,1,Фрунзенский,,1890000
4524,59.0,2,17,Вторичка,кирпичный,2,Фрунзенский,,2980000
4525,62.6,15,17,Новостройки,монолитный,2,Фрунзенский,,2550000
4526,29.0,3,9,Вторичка,кирпичный,1,Фрунзенский,1979,1800000
4527,58.0,10,17,Вторичка,панельный,2,Фрунзенский,,2700000
4528,50.5,4,9,Вторичка,кирпичный,2,Красноперекопский,,2700000
4529,85.3,5,5,Вторичка,кирпичный,3,Дзержинский,,4390000
4530,43.6,1,5,Вторичка,кирпичный,2,Заволжский,1969,1380000
4531,42.0,2,10,Вторичка,монолитный,1,Фрунзенский,,2580000
4532,38.0,8,10,Вторичка,панельный,1,Заволжский,,1850000
4533,38.3,1,5,Вторичка,кирпичный,2,Дзержинский,1969,1490000
4534,80.0,3,4,Вторичка,кирпичный,3,Заволжский,,3700000
4535,85.8,6,17,Новостройки,монолитный,3,Фрунзенский,,4375800
4536,82.1,6,11,Вторичка,панельный,3,Фрунзенский,,4300000
4537,32.1,4,9,Вторичка,кирпичный,1,Фрунзенский,,1550000
4538,46.0,1,5,Вторичка,панельный,2,Дзержинский,1972,1870000
4539,83.9,5,19,Новостройки,кирпичный,3,Дзержинский,,3680000
4540,90.0,1,17,Вторичка,кирпичный,3,Заволжский,,3499000
4541,57.0,1,9,Вторичка,панельный,3,Заволжский,,2350000
4542,55.0,6,6,Новостройки,монолитный,2,Фрунзенский,,2500000
4543,32.0,7,9,Вторичка,панельный,1,Фрунзенский,,1800000
4544,42.0,2,8,Новостройки,кирпичный,1,Красноперекопский,,2200000
4545,57.4,1,5,Вторичка,кирпичный,2,Красноперекопский,,2230000
4546,46.1,7,9,Вторичка,панельный,2,Фрунзенский,,2000000
4547,39.0,1,4,Новостройки,кирпичный,1,Заволжский,,1630000
4548,89.5,12,12,Новостройки,монолитный,3,Фрунзенский,,4117000
4549,42.0,5,9,Вторичка,кирпичный,2,Заволжский,1974,2080000
4550,63.0,7,9,Вторичка,кирпичный,3,Дзержинский,,2800000
4551,38.8,5,16,Новостройки,кирпичный,1,Заволжский,,1668000
4552,85.0,3,5,Вторичка,кирпичный,3,Фрунзенский,,5550000
4553,63.0,7,9,Вторичка,кирпичный,3,Красноперекопский,,3550000
4554,115.0,6,8,Вторичка,кирпичный,4,Дзержинский,,3750000
4555,55.0,6,14,Новостройки,кирпичный,2,Фрунзенский,,2420000
4556,86.9,1,3,Вторичка,кирпичный,3,Ленинский,1955,3680000
4557,62.0,1,9,Вторичка,кирпичный,3,Фрунзенский,,3350000
4558,42.7,4,5,Вторичка,панельный,2,Кировский,1969,2265000
4559,38.0,8,9,Вторичка,панельный,1,Дзержинский,,1650000
4560,46.2,9,17,Вторичка,панельный,1,Фрунзенский,2018,1760000
4561,63.5,12,16,Новостройки,монолитный,2,Фрунзенский,,2480000
4562,46.3,2,3,Новостройки,кирпичный,2,Дзержинский,,2100000
4563,46.0,8,17,Новостройки,панельный,1,Фрунзенский,2018,1830000
4564,85.0,2,3,Вторичка,кирпичный,3,Красноперекопский,,3850000
4565,71.0,7,9,Вторичка,кирпичный,3,Фрунзенский,,3490000
4566,42.0,8,14,Вторичка,кирпичный,1,Дзержинский,2014,2150000
4567,60.0,11,12,Вторичка,кирпичный,3,Дзержинский,,2450000
4568,39.0,2,9,Вторичка,панельный,1,Фрунзенский,,1920000
4569,25.0,2,5,Вторичка,кирпичный,1,Красноперекопский,1972,1150000
4570,64.0,2,10,Вторичка,кирпичный,2,Заволжский,,3300000
4571,42.0,12,14,Вторичка,монолитный,1,Фрунзенский,,2530000
4572,180.0,3,4,Вторичка,кирпичный,4,Фрунзенский,,5000000
4573,42.5,12,12,Новостройки,монолитный,1,Фрунзенский,2014,2490000
4574,62.0,1,5,Вторичка,кирпичный,3,Красноперекопский,1971,2300000
4575,,5,5,Вторичка,кирпичный,1,Красноперекопский,1973,2550000
4576,35.2,11,14,Вторичка,монолитный,1,Заволжский,1994,1650000
4577,48.1,4,5,Вторичка,панельный,3,Дзержинский,1972,2000000
4578,33.6,1,5,Вторичка,кирпичный,1,Ленинский,,1600000
4579,55.2,9,10,Вторичка,панельный,2,Дзержинский,2001,2480000
4580,65.0,5,5,Вторичка,панельный,3,Дзержинский,1977,2360000
4581,55.0,2,3,Вторичка,кирпичный,2,Заволжский,,2650000
4582,65.0,5,5,Вторичка,панельный,3,Дзержинский,1977,2360000
4583,70.0,12,16,Вторичка,монолитный,2,Заволжский,,3600000
4584,36.0,12,13,Вторичка,кирпичный,1,Фрунзенский,,2070000
4585,44.2,25,25,Новостройки,монолитный,1,Красноперекопский,,2915220
4586,52.0,1,9,Вторичка,панельный,2,Фрунзенский,1990,2050000
4587,78.0,9,14,Вторичка,кирпичный,3,Дзержинский,,4400000
4588,55.0,4,4,Новостройки,кирпичный,2,Заволжский,,2500000
4589,59.0,5,9,Вторичка,кирпичный,3,Заволжский,,2759000
4590,62.0,4,6,Вторичка,кирпичный,3,Фрунзенский,1978,2590000
4591,61.8,5,9,Вторичка,кирпичный,3,Заволжский,,2090000
4592,79.9,1,3,Вторичка,кирпичный,3,Заволжский,,4500000
4593,48.6,17,17,Новостройки,кирпичный,1,Дзержинский,2016,1950000
4594,61.0,1,3,Вторичка,кирпичный,2,Ленинский,1957,2600000
4595,81.7,1,10,Вторичка,кирпичный,3,Дзержинский,,2300000
4596,42.0,5,5,Вторичка,кирпичный,1,Фрунзенский,,2800000
4597,37.0,2,5,Вторичка,панельный,1,Заволжский,,1850000
4598,45.6,4,4,Вторичка,кирпичный,3,Заволжский,1967,1699000
4599,67.0,3,5,Вторичка,кирпичный,2,Фрунзенский,,3665000
4600,70.3,17,17,Новостройки,монолитный,3,Фрунзенский,,4352400
4601,39.0,15,17,Вторичка,панельный,1,Дзержинский,,1690000
4602,44.0,1,12,Вторичка,кирпичный,1,Фрунзенский,2014,2650000
4603,111.0,2,3,Новостройки,кирпичный,4,Фрунзенский,,4902500
4604,44.0,1,5,Вторичка,кирпичный,2,Фрунзенский,,2090000
4605,61.0,4,9,Вторичка,панельный,3,Дзержинский,,2350000
4606,,5,5,Вторичка,панельный,1,Дзержинский,1971,1650000
4607,55.0,4,4,Новостройки,кирпичный,2,Заволжский,,2500000
4608,44.7,1,5,Вторичка,кирпичный,2,Фрунзенский,1970,1900000
4609,45.0,3,5,Вторичка,кирпичный,2,Фрунзенский,1971,2200000
4610,,4,5,Вторичка,панельный,1,Дзержинский,,1460000
4611,44.0,9,12,Вторичка,кирпичный,1,Дзержинский,,2320000
4612,,9,9,Вторичка,кирпичный,1,Заволжский,1981,1100000
4613,62.4,3,4,Новостройки,кирпичный,2,Заволжский,,2630000
4614,38.0,8,17,Вторичка,панельный,1,Дзержинский,,1600000
4615,44.0,7,10,Вторичка,кирпичный,1,Фрунзенский,,2449000
4616,88.4,4,10,Вторичка,кирпичный,3,Фрунзенский,,4067780
4617,28.0,3,3,Новостройки,кирпичный,1,Красноперекопский,,1098000
4618,36.3,5,10,Новостройки,кирпичный,1,Фрунзенский,,1705630
4619,38.0,1,9,Вторичка,панельный,1,Заволжский,1995,1780000
4620,23.0,9,9,Вторичка,кирпичный,1,Дзержинский,1975,960000
4621,31.0,3,5,Вторичка,кирпичный,1,Фрунзенский,1973,1390000
4622,86.0,17,17,Новостройки,монолитный,3,Фрунзенский,,4411800
4623,31.0,1,4,Вторичка,кирпичный,1,Заволжский,,1400000
4624,59.0,6,10,Новостройки,кирпичный,2,Дзержинский,,3127530
4625,73.0,2,10,Новостройки,кирпичный,3,Дзержинский,,3681600
4626,36.0,7,12,Вторичка,кирпичный,1,Кировский,1985,2400000
4627,54.1,5,10,Вторичка,панельный,2,Дзержинский,,2250000
4628,34.7,10,10,Новостройки,кирпичный,1,Заволжский,,1612155
4629,36.7,2,5,Вторичка,кирпичный,1,Заволжский,,2250000
4630,63.6,4,5,Вторичка,кирпичный,3,Дзержинский,1979,2300000
4631,31.0,1,5,Вторичка,блочный,1,Дзержинский,,1199000
4632,40.4,8,17,Новостройки,монолитный,1,Фрунзенский,,1979600
4633,39.7,7,17,Новостройки,монолитный,1,Фрунзенский,,1945300
4634,60.0,5,17,Новостройки,монолитный,2,Фрунзенский,,2880000
4635,56.3,5,17,Новостройки,монолитный,2,Фрунзенский,,2702400
4636,54.1,5,10,Вторичка,панельный,2,Дзержинский,,2250000
4637,34.7,10,10,Новостройки,кирпичный,1,Заволжский,,1612155
4638,36.7,2,5,Вторичка,кирпичный,1,Заволжский,,2250000
4639,63.6,4,5,Вторичка,кирпичный,3,Дзержинский,1979,2300000
4640,31.0,1,5,Вторичка,блочный,1,Дзержинский,,1199000
4641,45.3,4,6,Новостройки,монолитный,1,Фрунзенский,,2537920
4642,48.0,3,9,Вторичка,панельный,2,Заволжский,1988,2300000
4643,42.3,3,5,Вторичка,кирпичный,2,Фрунзенский,,1650000
4644,46.1,9,9,Новостройки,кирпичный,1,Фрунзенский,,1890000
4645,41.8,4,4,Новостройки,кирпичный,1,Заволжский,,1850000
4646,73.4,2,3,Новостройки,кирпичный,2,Заволжский,,4621000
4647,71.0,4,14,Новостройки,кирпичный,2,Фрунзенский,,2700000
4648,100.5,8,14,Новостройки,кирпичный,3,Фрунзенский,,4170335
4649,96.2,1,3,Новостройки,кирпичный,3,Фрунзенский,,4640100
4650,112.8,2,8,Вторичка,кирпичный,3,Кировский,,9750000
4651,63.0,5,9,Вторичка,панельный,3,Заволжский,1988,2700000
4652,38.0,1,9,Вторичка,панельный,1,Фрунзенский,,1395000
4653,47.4,3,3,Вторичка,кирпичный,2,Кировский,1950,4300000
4654,63.2,7,9,Вторичка,кирпичный,3,Дзержинский,,2900000
4655,47.1,3,9,Вторичка,панельный,2,Заволжский,1988,2230000
4656,31.0,4,5,Вторичка,панельный,1,Дзержинский,1964,1750000
4657,48.0,12,12,Новостройки,монолитный,1,Фрунзенский,,2210300
4658,35.6,4,9,Новостройки,кирпичный,1,Заволжский,,1655865
4659,50.0,8,9,Вторичка,кирпичный,2,Дзержинский,1984,2560000
4660,54.0,9,10,Вторичка,кирпичный,2,Заволжский,,2150000
4661,30.0,5,5,Вторичка,панельный,1,Дзержинский,,1250000
4662,56.0,4,4,Новостройки,кирпичный,2,Заволжский,,2500000
4663,61.0,6,9,Вторичка,кирпичный,3,Дзержинский,,2500000
4664,55.2,9,9,Новостройки,кирпичный,2,Фрунзенский,2018,2577623
4665,34.0,1,3,Вторичка,кирпичный,1,Заволжский,2014,1400000
4666,44.2,5,5,Новостройки,кирпичный,1,Дзержинский,,2123520
4667,80.0,1,9,Вторичка,панельный,3,Дзержинский,,2950000
4668,22.0,9,9,Вторичка,панельный,1,Заволжский,,1080000
4669,75.0,2,4,Вторичка,кирпичный,3,Ленинский,1956,6300000
4670,40.5,4,14,Вторичка,кирпичный,1,Ленинский,,2850000
4671,67.0,4,4,Вторичка,кирпичный,3,Кировский,1931,3200000
4672,66.8,1,5,Вторичка,кирпичный,3,Кировский,1992,4900000
4673,83.8,5,21,Вторичка,кирпичный,3,Дзержинский,,3680576
4674,43.5,5,5,Вторичка,кирпичный,2,Фрунзенский,,1800000
4675,62.0,7,10,Вторичка,кирпичный,2,Фрунзенский,2016,3300000
4676,40.0,4,17,Вторичка,кирпичный,1,Кировский,,2150000
4677,45.0,3,5,Вторичка,кирпичный,2,Фрунзенский,1968,1820000
4678,31.0,5,5,Вторичка,кирпичный,1,Красноперекопский,,1530000
4679,44.0,1,5,Вторичка,кирпичный,2,Фрунзенский,1968,1570000
4680,44.0,1,5,Вторичка,кирпичный,1,Фрунзенский,,1890000
4681,31.0,2,2,Вторичка,кирпичный,1,Заволжский,,1200000
4682,35.0,5,12,Вторичка,кирпичный,1,Дзержинский,,1600000
4683,58.0,8,9,Вторичка,панельный,3,Фрунзенский,,2500000
4684,50.0,4,5,Вторичка,кирпичный,2,Заволжский,,2300000
4685,49.2,5,5,Вторичка,монолитный,2,Дзержинский,1992,2600000
4686,56.3,5,17,Новостройки,монолитный,2,Фрунзенский,,2702400
4687,39.0,5,8,Вторичка,кирпичный,1,Дзержинский,,2150000
4688,39.0,1,5,Вторичка,кирпичный,2,Фрунзенский,1968,2000000
4689,46.1,7,9,Вторичка,панельный,2,Фрунзенский,,2000000
4690,50.0,4,5,Вторичка,кирпичный,2,Заволжский,,2300000
4691,49.2,5,5,Вторичка,монолитный,2,Дзержинский,1992,2600000
4692,52.4,6,10,Вторичка,панельный,2,Дзержинский,2000,2600000
